Version ->,Rarity,Vision,1.5,1.6,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,Average usage
Albedo,5,Geo,55.56,27.6,51.3,47.4,44.1,61.4,42.0,68.4,12.7,53.0,34.5,24.6,17.9,15.7,30.1,8.6,5.4,7.9,5.9,3.6,30.88
Alhaitham,5,Dendro,,,,,,,,,,,,,,,,56.0,56.6,57.6,40.9,64.8,55.18
Amber,4,Pyro,1.9,1.5,0.3,0.2,0.7,0.8,1.0,1.2,0.3,0.1,0.3,0.2,0.4,0.5,1.0,0.2,0.1,0.1,0.2,0.2,0.56
Arataki Itto,5,Geo,,,,,,,39.0,47.3,10.6,39.8,18.9,17.3,16.9,15.2,39.6,10.6,6.4,11.1,8.2,5.3,20.44
Baizhu,5,Dendro,,,,,,,,,,,,,,,,,,,53.5,59.4,56.45
Barbara,4,Hydro,6.11,3.3,4.0,5.7,5.0,6.1,7.0,5.4,7.2,1.1,5.8,5.7,4.8,6.7,7.9,2.9,4.9,7.4,3.8,9.7,5.53
Beidou,4,Electro,11.8,6.5,5.1,7.2,10.5,13.3,8.0,11.4,10.7,1.5,1.3,2.0,2.0,0.8,2.7,0.6,1.1,1.4,1.5,2.3,5.09
Bennett,4,Pyro,79.6,80.2,74.5,83.9,88.1,88.3,81.0,80.5,56.8,87.3,92.7,85.5,77.4,73.7,84.1,71.9,87.4,77.5,88.6,64.6,80.18
Candace,4,Hydro,,,,,,,,,,,,,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.11
Chongyun,4,Cryo,16.2,1.2,0.8,0.5,0.5,0.1,0.1,0.5,0.1,0.5,0.3,0.1,0.1,0.1,0.2,0.4,1.0,0.5,0.2,0.1,1.18
Collei,4,Dendro,,,,,,,,,,,,2.3,16.5,9.0,3.0,2.7,1.0,2.4,1.0,1.3,4.36
Cyno,5,Electro,,,,,,,,,,,,,28.4,40.3,40.3,15.2,14.4,15.9,8.1,9.7,21.54
Dehya,5,Pyro,,,,,,,,,,,,,,,,,15.8,4.2,3.7,1.0,6.18
Diluc,5,Pyro,30.0,33.2,15.8,12.9,7.5,5.0,1.0,2.0,0.7,3.8,12.3,3.6,2.3,2.2,1.0,0.5,1.4,0.4,2.3,0.4,6.92
Diona,4,Cryo,59.4,46.5,51.1,53.4,44.2,42.8,44.0,24.1,45.6,17.4,28.0,25.8,20.1,18.0,11.7,6.9,11.8,9.5,9.7,9.8,28.99
Dori,4,Electro,,,,,,,,,,,,0.2,0.4,0.8,0.9,0.2,0.3,0.1,0.1,0.2,0.36
Eula,5,Cryo,,39.8,47.1,56.7,47.3,44.1,26.0,20.6,13.8,14.5,28.2,20.9,15.9,15.1,6.4,4.8,3.4,4.0,3.0,9.0,22.14
Faruzan,4,Anemo,,,,,,,,,,,,,,,18.7,21.9,7.6,7.8,5.2,4.9,11.02
Fischl,4,Electro,25.3,18.0,18.0,16.8,19.4,22.4,18.0,24.9,17.3,16.7,2.5,6.0,16.5,18.8,13.6,13.9,8.8,12.7,6.9,6.5,15.15
Ganyu,5,Cryo,94.85,90.6,74.8,69.9,63.1,47.4,49.0,40.6,68.5,18.6,33.8,31.5,32.7,33.3,26.5,7.5,19.7,10.4,12.2,8.9,41.69
Gorou,4,Geo,,,,,,35.0,32.0,23.8,3.6,16.5,3.9,4.2,4.7,3.9,12.8,3.4,1.6,2.7,2.0,1.2,10.09
Hu Tao,5,Pyro,,,,,67.6,58.2,52.0,60.4,23.9,64.8,80.8,71.0,41.8,34.4,42.2,30.5,47.7,33.3,41.4,22.3,48.27
Jean,5,Anemo,43.7,49.7,28.6,21.5,18.9,26.3,13.0,16.8,14.0,14.3,10.6,5.3,2.0,2.5,5.2,2.4,3.2,2.6,5.4,2.1,14.41
Kaedehara Kazuha,5,Anemo,,65.9,88.8,92.2,88.4,83.5,79.0,81.8,89.8,79.8,94.1,92.4,84.0,82.1,68.4,65.8,71.4,67.1,90.9,80.9,81.38
Kaeya,4,Cryo,10.1,6.1,2.5,2.5,3.0,2.5,3.0,2.5,5.1,0.7,1.1,0.6,0.8,0.7,0.8,0.4,0.5,0.2,0.4,0.4,2.2
Kamisato Ayaka,5,Cryo,,,,,73.5,61.5,84.0,52.5,88.5,30.9,64.9,66.2,60.3,55.5,34.7,16.3,42.3,30.6,44.9,40.8,52.96
Kamisato Ayato,5,Hydro,,,,,,,,,68.9,33.3,42.5,34.5,32.5,35.6,30.2,23.2,25.2,23.8,24.1,34.6,34.03
Kaveh,4,Dendro,,,,,,,,,,,,,,,,,,0.9,0.5,1.1,0.83
Keqing,5,Electro,16.3,12.5,6.1,6.0,5.7,3.0,4.0,2.0,2.0,1.6,1.7,2.6,3.8,7.9,12.2,6.1,5.2,5.1,4.7,4.0,5.63
Kirara,4,Dendro,,,,,,,,,,,,,,,,,,,4.3,3.9,4.1
Klee,5,Pyro,37.5,37.0,18.1,18.0,13.4,8.0,5.0,6.3,3.6,13.2,19.4,7.2,3.5,4.6,2.8,3.1,5.7,1.3,11.5,2.2,11.07
Kujou Sara,4,Electro,,,,6.0,11.4,12.4,11.0,10.0,4.6,7.9,6.7,10.6,8.2,7.2,8.0,9.4,7.2,12.2,12.4,4.6,8.81
Kuki Shinobu,4,Electro,,,,,,,,,,1.1,1.3,14.9,12.1,23.0,34.9,39.4,39.5,37.1,47.8,56.2,27.94
Layla,4,Cryo,,,,,,,,,,,,,,2.0,1.9,3.5,3.0,2.6,2.7,2.1,2.54
Lisa,4,Electro,0.9,0.4,0.1,0.0,0.2,0.1,0.0,0.3,0.3,0.6,0.2,0.1,0.6,0.8,0.1,0.3,0.1,0.1,0.1,0.1,0.27
Mika,4,Cryo,,,,,,,,,,,,,,,,,0.2,0.1,0.2,0.5,0.25
Mona,5,Hydro,41.2,36.5,57.6,50.5,41.1,34.3,44.0,28.9,44.6,13.8,25.6,30.4,22.8,20.3,13.3,7.8,16.3,13.3,14.1,15.6,28.6
Nahida,5,Dendro,,,,,,,,,,,,,,59.8,72.0,83.1,82.1,87.0,97.8,91.2,81.86
Nilou,5,Hydro,,,,,,,,,,,,,47.9,56.5,46.9,44.1,27.0,60.8,21.4,62.8,45.93
Ningguang,4,Geo,13.5,6.8,10.2,7.8,5.3,8.0,3.0,23.8,1.4,3.3,2.9,2.0,0.9,0.7,12.7,0.2,0.2,0.1,0.1,0.1,5.15
Noelle,4,Geo,10.3,5.1,5.5,5.1,3.0,7.8,2.0,5.7,1.5,2.6,1.7,1.0,0.6,0.7,2.5,0.5,0.2,0.3,0.2,0.1,2.82
Qiqi,5,Cryo,14.9,12.7,8.1,7.5,2.0,7.3,2.0,3.0,2.4,1.1,7.3,4.0,1.7,1.9,1.7,1.6,0.9,0.4,0.3,0.4,4.06
Raiden Shogun,5,Electro,,,,47.9,84.0,84.6,74.0,81.7,58.4,73.3,79.8,77.5,80.6,78.4,65.5,61.0,73.9,73.6,54.7,57.1,70.94
Razor,4,Electro,6.9,1.3,0.2,0.0,0.2,0.4,0.0,0.0,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.55
Rosaria,4,Cryo,14.6,4.4,4.0,9.0,12.4,14.5,20.0,9.3,21.7,7.7,5.6,6.9,8.4,7.0,3.8,1.6,3.6,1.2,1.8,2.3,7.99
Sangonomiya Kokomi,5,Hydro,,,,,39.5,61.7,74.0,77.9,89.0,47.0,59.8,64.4,74.2,77.8,73.0,54.7,59.6,69.3,56.1,77.9,65.99
Sayu,4,Anemo,,,0.2,3.0,2.5,2.5,1.0,1.0,0.8,0.9,0.4,0.3,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.76
Shenhe,5,Cryo,,,,,,,44.1,38.3,60.0,24.8,53.1,64.4,43.9,41.4,24.5,13.3,35.7,30.4,43.4,40.2,39.82
Shikanoin Heizou,4,Anemo,,,,,,,,,,,1.1,0.3,0.3,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.29
Sucrose,4,Anemo,28.5,35.0,13.6,19.2,29.2,23.1,24.0,22.2,26.1,26.7,17.8,9.7,6.5,6.3,2.6,1.6,3.0,2.3,3.5,0.7,15.08
Tartaglia,5,Hydro,37.2,30.0,34.1,33.5,38.7,30.4,29.0,24.8,28.6,18.7,40.6,36.9,30.1,29.7,31.9,29.4,32.4,30.1,23.1,47.4,31.83
Thoma,4,Pyro,,,,,4.0,4.5,6.0,4.1,1.2,3.4,1.5,0.8,0.2,0.5,0.6,3.3,1.1,0.8,2.6,0.6,2.2
Tighnari,5,Dendro,,,,,,,,,,,,19.1,24.4,16.6,13.1,15.5,22.3,17.5,9.3,11.8,16.62
Venti,5,Anemo,92.3,88.9,64.3,63.5,58.9,27.3,22.0,19.1,76.7,25.5,46.6,33.4,27.7,26.6,7.9,4.9,6.0,6.5,19.3,7.0,36.22
Wanderer,5,Anemo,,,,,,,,,,,,,,,28.4,33.1,13.1,12.7,14.7,13.7,19.28
Xiangling,4,Pyro,52.4,35.4,37.0,45.1,63.2,64.2,62.0,59.5,29.9,67.1,71.0,61.8,59.1,43.8,54.0,43.0,69.8,57.2,69.4,45.7,54.53
Xiao,5,Anemo,73.0,68.4,49.9,49.0,41.9,37.9,20.0,19.7,13.2,21.3,43.1,26.7,19.9,19.3,17.1,7.7,7.3,6.3,4.7,4.5,27.55
Xingqiu,4,Hydro,66.3,68.2,78.2,75.3,83.6,80.6,85.0,79.0,69.4,72.7,68.0,67.1,26.3,55.4,58.3,60.7,71.5,65.1,71.2,63.7,68.28
Xinyan,4,Pyro,1.6,0.5,0.2,0.0,0.3,0.1,1.0,0.2,0.1,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.28
Yae Miko,5,Electro,,,,,,,,60.9,33.0,31.8,29.7,28.3,33.1,38.1,35.9,41.8,53.4,38.6,29.6,39.8,38.0
Yanfei,4,Pyro,4.0,2.2,1.2,0.2,2.0,2.2,1.0,0.3,0.5,2.9,6.2,1.9,0.8,0.8,0.6,0.5,0.9,0.1,4.2,0.1,1.63
Yaoyao,4,Dendro,,,,,,,,,,,,,,,,12.0,7.3,11.0,4.7,8.5,8.7
Yelan,5,Hydro,,,,,,,,,,75.7,87.1,89.0,71.7,68.9,72.9,61.9,79.9,86.6,72.7,70.9,76.12
Yoimiya,5,Pyro,,,,32.5,28.0,20.0,27.0,30.2,8.8,48.9,38.9,44.3,24.2,24.9,34.8,9.0,18.6,8.2,18.5,4.9,24.81
Yun Jin,4,Geo,,,,,,,21.0,6.4,3.6,10.0,8.5,11.0,5.4,4.9,13.8,2.8,3.0,1.6,1.7,1.1,6.77
Zhongli,5,Geo,83.5,94.6,95.8,92.2,85.2,82.9,68.0,93.6,56.4,82.4,88.9,83.9,67.2,67.9,87.6,77.8,65.3,65.7,66.5,51.7,77.86
